Local time,Open,High,Low,Close,Volume
31.12.2021 01:00:00.000 GMT+0100,338.187,339.307,335.826,336.137,5598892578.125
03.01.2022 01:00:00.000 GMT+0100,335.106,337.696,329.716,334.627,7103154296.875
04.01.2022 01:00:00.000 GMT+0100,334.277,334.767,326.106,329.057,9025224609.375
05.01.2022 01:00:00.000 GMT+0100,325.736,325.796,316.106,316.476,9105174804.6875
06.01.2022 01:00:00.000 GMT+0100,312.996,318.667,311.406,313.866,12257073242.1875
07.01.2022 01:00:00.000 GMT+0100,313.997,316.466,310.077,313.997,10264613281.25
10.01.2022 01:00:00.000 GMT+0100,309.377,314.646,304.686,314.066,12129031250
11.01.2022 01:00:00.000 GMT+0100,313.006,316.567,309.866,314.836,10822047851.5625
12.01.2022 01:00:00.000 GMT+0100,319.627,323.386,317.066,318.227,10837245117.1875
13.01.2022 01:00:00.000 GMT+0100,320.447,320.766,303.976,304.956,11733181640.625
14.01.2022 01:00:00.000 GMT+0100,304.096,310.747,303.746,310.266,11477757812.5
18.01.2022 01:00:00.000 GMT+0100,304.047,309.757,301.757,302.766,10312659179.6875
19.01.2022 01:00:00.000 GMT+0100,305.907,313.857,302.706,303.227,13554722656.25
20.01.2022 01:00:00.000 GMT+0100,309.307,311.577,301.116,301.326,10978693359.375
21.01.2022 01:00:00.000 GMT+0100,302.406,304.066,295.596,295.606,16388357421.875
24.01.2022 01:00:00.000 GMT+0100,291.997,296.756,276.016,296.217,15857625976.5625
25.01.2022 01:00:00.000 GMT+0100,291.607,294.977,285.146,288.537,16593578125
26.01.2022 01:00:00.000 GMT+0100,307.897,308.427,293.036,296.707,14563361328.125
27.01.2022 01:00:00.000 GMT+0100,302.536,307.067,297.916,300.106,18460173828.125
28.01.2022 01:00:00.000 GMT+0100,300.157,308.127,294.446,308.117,16376748046.875
31.01.2022 01:00:00.000 GMT+0100,308.897,312.346,306.336,311.056,13766275390.625
01.02.2022 01:00:00.000 GMT+0100,310.526,310.567,305.116,308.807,13910895507.8125
02.02.2022 01:00:00.000 GMT+0100,309.456,315.067,308.877,313.217,14521155273.4375
03.02.2022 01:00:00.000 GMT+0100,309.376,311.187,300.746,301.257,14615359375
04.02.2022 01:00:00.000 GMT+0100,300.126,308.776,299.956,306.267,15532123046.875
07.02.2022 01:00:00.000 GMT+0100,305.937,307.786,299.876,300.986,13859243164.0625
08.02.2022 01:00:00.000 GMT+0100,301.036,305.547,299.946,304.506,14994550781.25
09.02.2022 01:00:00.000 GMT+0100,309.476,311.897,307.386,311.037,12024500000
10.02.2022 01:00:00.000 GMT+0100,303.586,309.086,300.676,302.216,17883906250
11.02.2022 01:00:00.000 GMT+0100,303.096,304.267,294.237,294.896,18133365234.375
14.02.2022 01:00:00.000 GMT+0100,293.617,296.726,291.336,294.837,17255832031.25
15.02.2022 01:00:00.000 GMT+0100,299.996,300.766,297.056,300.186,12048252929.6875
16.02.2022 01:00:00.000 GMT+0100,297.996,300.856,293.636,299.266,12337880859.375
17.02.2022 01:00:00.000 GMT+0100,296.107,296.677,290.006,290.746,11687301757.8125
18.02.2022 01:00:00.000 GMT+0100,292.996,293.726,286.296,287.786,15763030273.4375
22.02.2022 01:00:00.000 GMT+0100,284.856,291.516,284.496,287.646,18487691406.25
23.02.2022 01:00:00.000 GMT+0100,289.996,291.646,280.066,280.177,17968914062.5
24.02.2022 01:00:00.000 GMT+0100,272.526,295.096,271.506,294.166,20594380859.375
25.02.2022 01:00:00.000 GMT+0100,294.616,297.566,291.616,297.357,15951258789.0625
28.02.2022 01:00:00.000 GMT+0100,293.707,299.037,292.996,298.927,17839484375
01.03.2022 01:00:00.000 GMT+0100,295.747,299.937,292.107,295.217,18034042968.75
02.03.2022 01:00:00.000 GMT+0100,295.497,301.386,293.657,300.287,15337562500
03.03.2022 01:00:00.000 GMT+0100,302.626,302.906,294.026,295.936,15360721679.6875
04.03.2022 01:00:00.000 GMT+0100,294.297,295.616,287.136,288.647,14135410156.25
07.03.2022 01:00:00.000 GMT+0100,288.286,289.656,278.506,278.537,15103794921.875
08.03.2022 01:00:00.000 GMT+0100,278.016,283.927,269.987,276.207,21912650390.625
09.03.2022 01:00:00.000 GMT+0100,282.997,289.577,280.747,288.006,13197075195.3125
10.03.2022 01:00:00.000 GMT+0100,282.726,286.566,280.596,285.446,14551957031.25
11.03.2022 01:00:00.000 GMT+0100,288.026,288.887,279.416,279.566,12828888671.875
14.03.2022 01:00:00.000 GMT+0100,280.137,285.367,275.806,276.277,14854408203.125
15.03.2022 01:00:00.000 GMT+0100,280.107,287.807,278.686,286.906,13590111328.125
16.03.2022 01:00:00.000 GMT+0100,289.097,294.487,283.197,294.217,14765397460.9375
17.03.2022 01:00:00.000 GMT+0100,292.646,294.987,289.346,294.866,14228752929.6875
18.03.2022 01:00:00.000 GMT+0100,294.086,300.976,292.707,299.987,12259628906.25
21.03.2022 01:00:00.000 GMT+0100,298.497,300.106,294.886,299.236,13775262695.3125
22.03.2022 01:00:00.000 GMT+0100,299.197,304.986,298.636,304.016,10439036132.8125
23.03.2022 01:00:00.000 GMT+0100,300.307,303.207,297.696,299.267,11364692382.8125
24.03.2022 01:00:00.000 GMT+0100,299.567,304.177,298.266,304.027,11171569335.9375
25.03.2022 01:00:00.000 GMT+0100,304.666,305.446,299.276,303.746,13415820312.5
28.03.2022 02:00:00.000 GMT+0200,303.496,310.707,303.496,310.626,10103374023.4375
29.03.2022 02:00:00.000 GMT+0200,313.597,315.797,308.996,315.417,12636818359.375
30.03.2022 02:00:00.000 GMT+0200,312.847,315.927,311.567,313.697,9603942382.8125
31.03.2022 02:00:00.000 GMT+0200,313.896,315.087,308.336,308.336,9289643554.6875
01.04.2022 02:00:00.000 GMT+0200,309.227,310.092,305.517,309.206,11587387695.3125
04.04.2022 02:00:00.000 GMT+0200,310.037,315.077,309.676,314.937,8321774414.0625
05.04.2022 02:00:00.000 GMT+0200,313.116,314.836,309.866,310.766,12392146484.375
06.04.2022 02:00:00.000 GMT+0200,305.187,306.947,296.696,299.046,16275198242.1875
07.04.2022 02:00:00.000 GMT+0200,296.217,303.627,296.216,301.246,15122405273.4375
08.04.2022 02:00:00.000 GMT+0200,300.410,301.106,296.266,297.077,13155964843.75
11.04.2022 02:00:00.000 GMT+0200,291.267,292.597,284.996,285.417,12792715820.3125
12.04.2022 02:00:00.000 GMT+0200,289.037,290.696,280.477,282.077,15110828125
13.04.2022 02:00:00.000 GMT+0200,282.447,288.577,281.277,287.506,10053688476.5625
14.04.2022 02:00:00.000 GMT+0200,287.817,288.217,279.316,279.927,11223312500
18.04.2022 02:00:00.000 GMT+0200,278.717,282.446,278.336,280.346,11791261718.75
19.04.2022 02:00:00.000 GMT+0200,279.286,286.137,278.396,285.476,10013468750
20.04.2022 02:00:00.000 GMT+0200,289.337,289.666,285.356,286.256,11063270507.8125
21.04.2022 02:00:00.000 GMT+0200,288.487,293.287,280.056,280.816,15116190429.6875
22.04.2022 02:00:00.000 GMT+0200,281.496,283.177,273.396,273.767,13072809570.3125
25.04.2022 02:00:00.000 GMT+0200,273.286,281.086,270.747,280.777,19798517578.125
26.04.2022 02:00:00.000 GMT+0200,277.156,278.286,269.996,270.166,10815598632.8125
27.04.2022 02:00:00.000 GMT+0200,282.107,290.946,279.126,283.607,14525797851.5625
28.04.2022 02:00:00.000 GMT+0200,284.997,290.947,281.406,289.587,16115328125
29.04.2022 02:00:00.000 GMT+0200,288.416,289.847,276.476,277.236,16861337890.625
02.05.2022 02:00:00.000 GMT+0200,277.667,284.797,276.206,284.137,20149517578.125
03.05.2022 02:00:00.000 GMT+0200,282.996,284.077,280.097,281.586,14517664062.5
04.05.2022 02:00:00.000 GMT+0200,281.807,290.836,276.687,289.866,16933484375
05.05.2022 02:00:00.000 GMT+0200,285.536,286.246,274.306,277.057,21895335937.5
06.05.2022 02:00:00.000 GMT+0200,274.546,279.217,271.256,274.926,19306904296.875
09.05.2022 02:00:00.000 GMT+0200,269.496,272.306,263.296,264.537,20323675781.25
10.05.2022 02:00:00.000 GMT+0200,271.097,273.707,265.066,269.316,21923359375
11.05.2022 02:00:00.000 GMT+0200,265.467,271.306,259.287,260.517,21898535156.25
12.05.2022 02:00:00.000 GMT+0200,257.507,259.847,250.016,255.606,22539416015.625
13.05.2022 02:00:00.000 GMT+0200,257.107,263.026,255.286,260.937,16355897460.9375
16.05.2022 02:00:00.000 GMT+0200,259.507,265.807,255.726,261.477,17188250000
17.05.2022 02:00:00.000 GMT+0200,265.777,268.297,262.446,266.877,15371638671.875
18.05.2022 02:00:00.000 GMT+0200,262.407,263.527,252.976,253.997,12294659179.6875
19.05.2022 02:00:00.000 GMT+0200,253.766,257.617,251.847,253.117,21400568359.375
20.05.2022 02:00:00.000 GMT+0200,256.996,258.517,246.396,252.516,16778992187.5
23.05.2022 02:00:00.000 GMT+0200,254.996,261.486,253.376,260.306,15784518554.6875
24.05.2022 02:00:00.000 GMT+0200,257.836,261.306,253.496,259.477,20080523437.5
25.05.2022 02:00:00.000 GMT+0200,258.136,264.536,257.106,262.337,14594595703.125
26.05.2022 02:00:00.000 GMT+0200,262.117,266.957,261.357,265.796,11682051757.8125
27.05.2022 02:00:00.000 GMT+0200,268.297,273.117,267.506,272.987,9629108398.4375
31.05.2022 02:00:00.000 GMT+0200,272.356,274.756,268.906,271.746,14432831054.6875
01.06.2022 02:00:00.000 GMT+0200,275.067,277.656,269.996,272.287,14715431640.625
02.06.2022 02:00:00.000 GMT+0200,264.386,274.616,261.557,274.496,15157696289.0625
03.06.2022 02:00:00.000 GMT+0200,269.747,273.397,268.366,269.907,16285013671.875
06.06.2022 02:00:00.000 GMT+0200,272.097,274.167,267.196,268.526,14678885742.1875
07.06.2022 02:00:00.000 GMT+0200,266.086,273.057,265.696,272.377,12746456054.6875
08.06.2022 02:00:00.000 GMT+0200,270.996,272.976,269.596,270.357,13459277343.75
09.06.2022 02:00:00.000 GMT+0200,267.827,272.677,264.456,264.677,14293064453.125
10.06.2022 02:00:00.000 GMT+0200,260.007,260.487,252.806,252.877,14834690429.6875
13.06.2022 02:00:00.000 GMT+0200,245.107,249.007,241.506,241.997,17513187500
14.06.2022 02:00:00.000 GMT+0200,243.536,245.727,241.496,244.436,17298732421.875
15.06.2022 02:00:00.000 GMT+0200,247.967,255.246,246.396,251.607,16483695312.5
16.06.2022 02:00:00.000 GMT+0200,244.996,247.376,242.996,245.106,18926666015.625
17.06.2022 02:00:00.000 GMT+0200,244.577,250.466,243.996,247.907,14176096679.6875
21.06.2022 02:00:00.000 GMT+0200,249.997,254.717,249.496,253.627,10790836914.0625
22.06.2022 02:00:00.000 GMT+0200,251.696,257.156,250.356,252.856,15161947265.625
23.06.2022 02:00:00.000 GMT+0200,255.406,259.357,253.596,258.777,12710465820.3125
24.06.2022 02:00:00.000 GMT+0200,261.376,267.827,261.376,267.556,8778791015.625
27.06.2022 02:00:00.000 GMT+0200,267.997,268.277,263.267,264.886,14509845703.125
28.06.2022 02:00:00.000 GMT+0200,263.857,266.877,256.316,256.477,13852273437.5
29.06.2022 02:00:00.000 GMT+0200,256.797,261.946,255.747,260.107,13290024414.0625
30.06.2022 02:00:00.000 GMT+0200,256.297,259.496,252.887,256.837,15461368164.0625
01.07.2022 02:00:00.000 GMT+0200,255.997,259.706,254.537,259.307,14844642578.125
05.07.2022 02:00:00.000 GMT+0200,255.596,262.936,254.706,262.936,14504530273.4375
06.07.2022 02:00:00.000 GMT+0200,263.466,267.967,262.376,266.227,11331464843.75
07.07.2022 02:00:00.000 GMT+0200,265.036,269.046,265.016,268.006,9375144531.25
08.07.2022 02:00:00.000 GMT+0200,264.586,268.066,263.266,267.516,12866282226.5625
11.07.2022 02:00:00.000 GMT+0200,264.996,266.507,262.096,264.577,12826546875
12.07.2022 02:00:00.000 GMT+0200,265.576,265.746,252.006,253.667,13162713867.1875
13.07.2022 02:00:00.000 GMT+0200,249.996,253.526,248.296,252.696,16713304687.5
14.07.2022 02:00:00.000 GMT+0200,249.997,255.116,245.916,253.916,14781055664.0625
15.07.2022 02:00:00.000 GMT+0200,255.716,260.336,254.756,256.485,10909694335.9375
