Local time,Open,High,Low,Close,Volume
30.12.2019 01:00:00.000 GMT+0100,158.972,160.682,156.462,158.763,294347751.6174
06.01.2020 01:00:00.000 GMT+0100,157.092,163.223,156.532,161.313,453454750.061
13.01.2020 01:00:00.000 GMT+0100,161.802,167.843,161.273,167.092,369757999.42020005
20.01.2020 01:00:00.000 GMT+0100,166.783,168.202,164.462,165.032,318043754.5776
27.01.2020 01:00:00.000 GMT+0100,161.293,174.402,160.362,170.283,516660758.9721
03.02.2020 01:00:00.000 GMT+0100,170.433,185.642,170.422,183.972,439789749.1454
10.02.2020 01:00:00.000 GMT+0100,183.992,190.705,181.882,185.332,439385002.1362
17.02.2020 01:00:00.000 GMT+0100,185.872,188.183,177.262,178.532,339603252.411
24.02.2020 01:00:00.000 GMT+0100,168.522,174.943,152.072,161.893,1142260498.0469
02.03.2020 01:00:00.000 GMT+0100,164.912,175.023,156.022,161.502,854014244.0797
09.03.2020 01:00:00.000 GMT+0100,151.002,161.073,138.612,159.552,945645263.6718001
16.03.2020 01:00:00.000 GMT+0100,140.633,150.162,135.012,137.392,853850753.7842001
23.03.2020 01:00:00.000 GMT+0100,137.102,156.732,132.542,149.892,1101871978.7597
30.03.2020 02:00:00.000 GMT+0200,152.982,164.802,150.502,153.902,805275245.6666
06.04.2020 02:00:00.000 GMT+0200,160.312,170.003,157.603,165.212,769895248.4131
13.04.2020 02:00:00.000 GMT+0200,164.933,180.003,162.322,178.672,728658996.5819
20.04.2020 02:00:00.000 GMT+0200,176.883,178.773,166.143,174.462,803366012.5733
27.04.2020 02:00:00.000 GMT+0200,176.852,180.503,169.422,174.672,719420494.0795
04.05.2020 02:00:00.000 GMT+0200,174.302,184.983,173.842,184.792,701115989.6851001
11.05.2020 02:00:00.000 GMT+0200,183.063,187.513,175.692,183.472,933520004.2724999
18.05.2020 02:00:00.000 GMT+0200,185.803,186.682,182.552,183.532,851686767.5781
25.05.2020 02:00:00.000 GMT+0200,186.385,186.752,176.602,183.772,737203994.7509999
01.06.2020 02:00:00.000 GMT+0200,182.422,187.733,181.362,187.163,732223487.854
08.06.2020 02:00:00.000 GMT+0200,186.513,198.533,184.452,187.682,1000954757.6905
15.06.2020 02:00:00.000 GMT+0200,184.762,199.312,184.113,195.252,1014121994.0186
22.06.2020 02:00:00.000 GMT+0200,195.672,203.953,194.903,196.452,979119506.8359001
29.06.2020 02:00:00.000 GMT+0200,195.912,208.003,193.573,206.392,695579254.1504
