Local time,Open,High,Low,Close,Volume
30.12.2019 01:00:00.000 GMT+0100,158.818,160.648,156.437,158.737,214891326.9044
06.01.2020 01:00:00.000 GMT+0100,156.498,163.208,156.497,161.277,329164051.0559
13.01.2020 01:00:00.000 GMT+0100,161.718,167.408,161.257,167.038,266199428.5584
20.01.2020 01:00:00.000 GMT+0100,166.497,168.178,164.447,164.988,222937480.92650002
27.01.2020 01:00:00.000 GMT+0100,161.147,174.008,160.047,170.247,356109756.4698
03.02.2020 01:00:00.000 GMT+0100,169.897,185.618,169.897,183.878,400196144.1041
10.02.2020 01:00:00.000 GMT+0100,183.498,190.658,181.847,185.288,314947425.8422
17.02.2020 01:00:00.000 GMT+0100,185.698,188.058,177.247,178.448,356267707.8247
24.02.2020 01:00:00.000 GMT+0100,167.768,174.827,151.987,161.777,1062371490.4785
02.03.2020 01:00:00.000 GMT+0100,164.047,174.858,155.997,161.407,1091820983.8866
09.03.2020 01:00:00.000 GMT+0100,150.097,160.978,138.497,158.857,1216737014.7705
16.03.2020 01:00:00.000 GMT+0100,139.797,150.108,134.997,137.068,662409545.8984
23.03.2020 01:00:00.000 GMT+0100,137.028,156.618,132.498,149.608,644833465.5762
30.03.2020 02:00:00.000 GMT+0200,152.267,164.748,150.147,153.808,444214683.5328
06.04.2020 02:00:00.000 GMT+0200,160.098,169.888,157.577,165.118,436935317.9931
13.04.2020 02:00:00.000 GMT+0200,164.358,179.958,162.277,178.558,407643730.1636
20.04.2020 02:00:00.000 GMT+0200,176.487,178.728,166.097,174.358,451035385.1318
27.04.2020 02:00:00.000 GMT+0200,176.517,180.358,169.398,174.448,404229732.5134
04.05.2020 02:00:00.000 GMT+0200,174.118,184.958,173.788,184.538,400231636.0474
11.05.2020 02:00:00.000 GMT+0200,182.977,187.498,175.657,183.288,531426052.0935
18.05.2020 02:00:00.000 GMT+0200,185.387,186.657,182.527,183.448,721919837.9516001
25.05.2020 02:00:00.000 GMT+0200,186.207,186.457,176.578,183.708,735722259.5215001
01.06.2020 02:00:00.000 GMT+0200,182.297,187.718,181.338,186.967,811815002.4414
08.06.2020 02:00:00.000 GMT+0200,185.547,198.508,184.427,187.448,948401275.6347
15.06.2020 02:00:00.000 GMT+0200,184.497,199.278,183.997,195.208,1227870223.999
22.06.2020 02:00:00.000 GMT+0200,195.497,203.928,194.877,196.177,1215166671.7529001
29.06.2020 02:00:00.000 GMT+0200,195.068,207.988,193.547,206.128,844632095.3369
06.07.2020 02:00:00.000 GMT+0200,208.497,216.337,208.077,213.798,1050117660.5224
13.07.2020 02:00:00.000 GMT+0200,214.447,215.788,201.378,202.818,812157211.3037
20.07.2020 02:00:00.000 GMT+0200,205.008,213.728,197.497,201.358,849105316.162
27.07.2020 02:00:00.000 GMT+0200,201.198,205.018,198.997,205.018,771619750.9765999
03.08.2020 02:00:00.000 GMT+0200,211.548,217.608,210.307,212.358,688124992.3706
10.08.2020 02:00:00.000 GMT+0200,211.348,211.368,203.127,208.827,722260246.2768999
17.08.2020 02:00:00.000 GMT+0200,209.428,216.238,208.897,212.987,479923682991.0279
24.08.2020 02:00:00.000 GMT+0200,214.778,231.098,212.448,228.938,3942014000000
31.08.2020 02:00:00.000 GMT+0200,226.298,232.847,205.127,214.048,3672130000000
07.09.2020 02:00:00.000 GMT+0200,206.098,214.818,201.208,204.007,2894254312500
14.09.2020 02:00:00.000 GMT+0200,204.260,210.547,196.228,200.047,3783473375000
21.09.2020 02:00:00.000 GMT+0200,196.498,209.038,196.357,207.707,5645146687500
28.09.2020 02:00:00.000 GMT+0200,210.438,213.958,205.538,206.137,5169494312500
05.10.2020 02:00:00.000 GMT+0200,207.218,215.848,204.808,215.767,4039175937500
12.10.2020 02:00:00.000 GMT+0200,218.558,225.098,216.007,219.677,5310519437500
19.10.2020 02:00:00.000 GMT+0200,219.997,222.268,211.697,216.147,4725815625000
26.10.2020 01:00:00.000 GMT+0100,213.847,216.307,199.617,202.628,4968590000000
02.11.2020 01:00:00.000 GMT+0100,204.247,224.278,200.108,223.568,5191144687500
09.11.2020 01:00:00.000 GMT+0100,223.697,228.108,209.718,216.498,5814345687500
16.11.2020 01:00:00.000 GMT+0100,214.018,217.718,209.908,210.308,3969904687500
23.11.2020 01:00:00.000 GMT+0100,210.898,216.247,208.157,215.218,2925285000000
30.11.2020 01:00:00.000 GMT+0100,213.998,217.288,210.827,214.347,3948130000000
07.12.2020 01:00:00.000 GMT+0100,214.397,216.937,209.097,213.228,4176962500000
14.12.2020 01:00:00.000 GMT+0100,212.817,220.848,212.227,218.818,3533607500000
21.12.2020 01:00:00.000 GMT+0100,217.208,225.617,217.208,222.677,2742517500000
28.12.2020 01:00:00.000 GMT+0100,224.128,227.158,219.667,222.397,2341032500000
04.01.2021 01:00:00.000 GMT+0100,222.297,222.437,211.948,219.518,3277512793945.3125
11.01.2021 01:00:00.000 GMT+0100,218.275,218.888,212.017,212.567,38087233398.4376
18.01.2021 01:00:00.000 GMT+0100,213.648,230.048,212.628,225.808,25929882324.2189
25.01.2021 01:00:00.000 GMT+0100,228.997,242.627,224.218,232.207,47960433593.75
01.02.2021 01:00:00.000 GMT+0100,235.068,245.068,232.437,242.198,28010837890.6251
08.02.2021 01:00:00.000 GMT+0100,243.198,245.898,240.797,244.987,23875887207.031303
15.02.2021 01:00:00.000 GMT+0100,244.998,246.088,240.177,240.817,23025667480.4688
22.02.2021 01:00:00.000 GMT+0100,237.337,237.858,227.868,231.998,61343872070.3125
01.03.2021 01:00:00.000 GMT+0100,235.598,237.447,224.247,231.507,62731569824.218796
08.03.2021 01:00:00.000 GMT+0100,231.117,239.148,227.077,235.768,61317327148.4375
15.03.2021 01:00:00.000 GMT+0100,234.948,240.048,229.337,229.878,55095354492.1875
22.03.2021 01:00:00.000 GMT+0100,230.368,241.037,230.007,236.357,56913713867.1875
29.03.2021 02:00:00.000 GMT+0200,236.668,242.628,231.097,242.318,34531941894.531296
05.04.2021 02:00:00.000 GMT+0200,242.208,255.957,242.207,255.757,30753407226.5627
12.04.2021 02:00:00.000 GMT+0200,254.598,260.917,254.598,260.577,30991880371.0939
19.04.2021 02:00:00.000 GMT+0200,259.628,261.726,255.626,260.887,36736866699.2189
26.04.2021 02:00:00.000 GMT+0200,261.437,263.167,248.997,252.176,35620582519.5314
03.05.2021 02:00:00.000 GMT+0200,253.226,254.337,244.696,252.377,36058057617.1876
10.05.2021 02:00:00.000 GMT+0200,250.617,251.707,238.057,248.036,38245732910.156296
17.05.2021 02:00:00.000 GMT+0200,246.437,248.287,238.646,245.157,34379426757.8126
24.05.2021 02:00:00.000 GMT+0200,247.677,252.897,247.457,249.797,20942770263.672
31.05.2021 02:00:00.000 GMT+0200,251.227,251.637,242.997,250.757,19465766845.7032
07.06.2021 02:00:00.000 GMT+0200,249.686,258.477,249.686,257.727,23506105957.0314
14.06.2021 02:00:00.000 GMT+0200,257.827,262.287,254.397,259.116,29294311523.4376
21.06.2021 02:00:00.000 GMT+0200,259.496,267.837,257.887,264.967,25764937011.7189
28.06.2021 02:00:00.000 GMT+0200,266.116,277.977,265.857,277.476,19379670166.0158
05.07.2021 02:00:00.000 GMT+0200,277.846,280.687,274.247,277.786,23577094238.2814
12.07.2021 02:00:00.000 GMT+0200,278.896,284.077,276.576,280.746,31289224121.0939
19.07.2021 02:00:00.000 GMT+0200,278.897,289.956,275.206,289.646,29625548339.8438
26.07.2021 02:00:00.000 GMT+0200,288.606,290.116,282.917,285.046,33411860839.8439
02.08.2021 02:00:00.000 GMT+0200,286.296,289.607,283.706,289.346,29543546386.7188
09.08.2021 02:00:00.000 GMT+0200,289.746,292.886,285.196,292.787,23601836181.6407
16.08.2021 02:00:00.000 GMT+0200,292.686,305.817,288.307,304.256,39070753906.25
23.08.2021 02:00:00.000 GMT+0200,303.107,305.617,296.816,299.627,23334808837.8907
30.08.2021 02:00:00.000 GMT+0200,300.777,305.167,300.176,301.097,23776765136.7189
06.09.2021 02:00:00.000 GMT+0200,300.727,302.107,295.366,295.807,24381576660.1563
13.09.2021 02:00:00.000 GMT+0200,297.566,305.287,294.086,299.777,36372599609.3751
20.09.2021 02:00:00.000 GMT+0200,296.517,300.886,289.506,299.297,43683960937.5
27.09.2021 02:00:00.000 GMT+0200,296.096,296.447,281.306,289.017,48936658691.406296
04.10.2021 02:00:00.000 GMT+0200,287.216,296.636,280.227,294.746,40743388183.5939
11.10.2021 02:00:00.000 GMT+0200,292.897,304.437,292.316,303.996,31501471679.6877
18.10.2021 02:00:00.000 GMT+0200,303.236,311.067,302.626,308.926,26706974609.3751
25.10.2021 02:00:00.000 GMT+0200,309.067,331.667,306.436,331.457,35175935058.593796
01.11.2021 01:00:00.000 GMT+0100,331.157,338.767,326.357,335.997,27924134765.6251
08.11.2021 01:00:00.000 GMT+0100,337.216,338.396,329.896,336.657,27411484375.0002
15.11.2021 01:00:00.000 GMT+0100,337.386,345.076,334.017,343.297,24836385253.9064
22.11.2021 01:00:00.000 GMT+0100,344.466,349.617,328.096,330.936,26800829589.8439
29.11.2021 01:00:00.000 GMT+0100,334.686,339.267,318.026,323.027,54915871582.031296
06.12.2021 01:00:00.000 GMT+0100,323.597,342.957,319.196,342.367,31788333045.9596
13.12.2021 01:00:00.000 GMT+0100,340.487,343.756,317.236,323.316,49385520507.8125
20.12.2021 01:00:00.000 GMT+0100,319.896,336.377,317.576,335.026,30251393066.4063
27.12.2021 01:00:00.000 GMT+0100,335.496,344.266,335.396,336.137,26769520996.0938
03.01.2022 01:00:00.000 GMT+0100,335.106,337.696,310.077,313.997,47755240234.375
